Player;Club;Age;Position;Nation;Value;League;MP;Min;Gls;Ast;Yellow Cards;Red Cards;Total Shots;Total Shots on Target;Goal Creating Actions;Touches;Total Successful Dribbles;Total Tackles Won
Pietro Pellegri;AC Milan;20;attack;Italy;5400000;Serie A;16;230;1;0;2;1;10;3;1;84;3;1
Nemanja Gudelj;Sevilla FC;29;midfield;Serbia;5400000;La Liga;30;1041;0;0;8;0;8;1;0;892;3;16
Oriol Romeu;Southampton FC;29;midfield;Spain;5400000;Premier League;21;1763;1;1;6;0;14;4;4;1462;11;35
Danny da Costa;Eintracht Frankfurt;28;Defender;Germany;5400000;Bundesliga;22;1318;0;1;2;0;8;1;3;720;20;12
Junior Dina Ebimbe;Paris Saint-Germain;20;midfield;France;5400000;Ligue 1;30;2144;1;1;5;0;46;13;3;1127;61;32
Kaan Ayhan;US Sassuolo;26;Defender;Turkey;5400000;Serie A;19;796;0;0;3;0;5;0;0;645;3;11
Facundo Pellistri;Deportivo Alavés;19;attack;Uruguay;5400000;La Liga;12;542;0;0;0;0;5;2;0;185;17;4
Rade Krunic;AC Milan;27;midfield;Bosnia-Herzegovina;5400000;Serie A;25;723;1;2;3;0;8;5;5;363;6;14
Cheick Doucoure;RC Lens;21;midfield;Mali;5400000;Ligue 1;33;2627;2;1;8;0;35;5;7;1769;31;59
Aihen Munoz;Real Sociedad;24;Defender;Spain;5400000;La Liga;16;1210;0;1;6;0;4;1;3;863;12;14
